Title,Author,Year,Publisher,Genre,Series,Format,Pages,ISBN,Edition,Printing,Value,Rarity,Rating,Condition,Summary,Signed,Status
Roadside Crosses,Jeffery Deaver,2009,Simon & Schuster,Fiction,Kathryn Dance,Hardcover,397,1416549994,First Edition,1st Printing,$6.00,Common; a widely distributed bestseller with abundant surviving copies,76,"Near Fine: light wear, hasDJ, protectedDJ","Second novel in Deaver's Kathryn Dance series, following the CBI agent as she races to stop a killer leaving roadside crosses to mark planned murders tied to a cyberbullying case.",No,Own
Rogue Forces,Dale Brown,2009,William Morrow,Fiction,Patrick McLanahan,Hardcover,,0061560871,First Edition,1st Printing,$6.00,Common; a widely distributed first-edition title with abundant surviving copies,76,"Near Fine: light wear, hasDJ, protectedDJ","Fifteenth novel in Brown's Patrick McLanahan series, exploring the dangers of an all-powerful private military contractor amid a Kurdish-Turkish conflict in northern Iraq.",No,Own
Satan Is Alive and Well on Planet Earth,Hal Lindsey with C. C. Carlson,1972,Bantam Books,Religious/Christian Eschatology,,Paperback,175,0-553-02232-5,,,$15.00,Common,6.5,Good,"Evangelical Christian perspective on Satan's influence in modern society, examining biblical prophecy and contemporary events through an apocalyptic lens.",,Pending Add
"Sauron Defeated: The End of the Third Age (The History of the Lord of the Rings, Part Four)",J.R.R. Tolkien,1992,"Houghton Mifflin Company, Boston / New York / London",Fantasy / Literary Criticism / Mythology,"The History of Middle-earth, Vol. 9",Hardcover with dust jacket,482,0-395-60649-7,First Edition (US),First Printing (full number line to 1),$75,"Uncommon; genuine first printing of a niche HoME volume, sought after within Tolkien collecting circles",8.06,"Very Fine, hasDJ | Excellent book and dust jacket condition","Ninth volume of Christopher Tolkien's History of Middle-earth, concluding the drafting history of The Lord of the Rings — covering the rescue of Frodo, the Scouring of the Shire, and the unpublished Epilogue — together with the first publication of 'The Notion Club Papers' and a further draft of the Númenor legend, 'The Drowning of Anadûnê.'",,Own
Seven Years in Darkness: Year One,Joseph Schmalke,2025,Midnight Factory,Graphic Novel / Horror / Fantasy,,Paperback,0,,First Edition,Jan-25,$20,Uncommon; new release in the indie horror/graphic novel market,0,New | Mint (As New); paperback; amazing condition,"The first volume of Joseph Schmalke's dark fantasy horror series, 'Seven Years in Darkness', following a group of students at a magic academy with deadly secrets. Features Schmalke's distinct art style and storytelling, published by Midnight Factory in January 2025.",,Own
Shadow Command,Dale Brown,2008,William Morrow,Techno-Thriller,Patrick McLanahan,Hardcover,,978-0-06-117311-0,First Edition,First printing,$10,Uncommon; first edition hardcover with matching dust jacket in the used book market,7.9,Very Good | hasDJ: hardcover with matching dust jacket showing light wear,"Amid rising tension with Russia and a possible U.S. military coup, America's most advanced military unit rebels against its own government while the Aerospace Command's access to the space station becomes a flashpoint. Fourteenth entry in Dale Brown's Patrick McLanahan series.",No,
Shadows of Steel,Dale Brown,1996,G.P. Putnam's Sons,Techno-Thriller,Patrick McLanahan,Hardcover,367,0-399-14139-1,First Edition,First printing,$15,Uncommon; first edition hardcover with matching dust jacket in the used book market,8.1,Very Good | hasDJ: hardcover with matching dust jacket showing light wear,"When Iran declares the Persian Gulf its territorial waters and sinks an American ship, Colonel Patrick McLanahan and the surviving Old Dog crew launch a covert stealth campaign to silence Iran's modern weapons before the crisis escalates into full-scale war. Fifth entry in Dale Brown's Patrick McLanahan series.",No,
Sky Masters,Dale Brown,1991,G.P. Putnam's Sons,Techno-Thriller,Patrick McLanahan,Hardcover,510,0-399-13705-X,First Edition,First printing,$20,Uncommon; first edition hardcover with matching dust jacket in the used book market,8.1,Very Good | hasDJ: hardcover with matching dust jacket showing light shelf wear,"A territorial dispute between China and the Philippines over the oil-rich Spratly Islands erupts into full-scale war, drawing in Lt. Col. Patrick McLanahan and a new generation of stealth technology from Dreamland. Second entry in Dale Brown's Patrick McLanahan series.",No,
Small World,Tabitha King,1982,"Signet, New American Library, New York, NY",Fiction,,Paperback,0,,First Signet Printing,Mar-82,$12,Uncommon; early paperback edition of Tabitha King's work,0,Very Good | Excellent; paperback; minimal wear,"A novel by Tabitha King, originally published in hardcover in 1981, exploring interpersonal relationships and human behavior. This is the first Signet paperback printing.",,Own
Sooley,John Grisham,2021,"Doubleday, New York",Sports Fiction / Drama,,Hardcover,355,978-0-385-54768-0,First Edition,First Printing (number line to 2),$9,"Common; widely printed recent bestseller, not scarce",7.94,"Very Fine, hasDJ | Very Fine book and dust jacket","A standalone sports novel following Samuel 'Sooley' Sooleymon, a South Sudanese teenager whose raw basketball talent earns him a spot on a U.S. college team just as war engulfs his home village, forcing him to fight for his family's survival while chasing an improbable rise to basketball stardom.",,Own
South Wind,Norman Douglas,1967,The Heritage Press,Literary Fiction / Satire,,Hardcover,383,,Heritage Press Edition (illustrated by Carlotta Petrina),1967 printing,$30,Uncommon; desirable Heritage Press illustrated edition of a celebrated satirical novel,,"Fine: excellent condition, housed in original slipcase (also fine), includes Sandglass club insert","Norman Douglas's 1917 satirical novel of eccentric expatriates on a fictional Mediterranean island, presented in this 1967 Heritage Press edition with illustrations by Carlotta Petrina. Includes the accompanying Heritage Club Sandglass newsletter (No. X-R:43), 'Of Wind, Whimsy, and Wit.'",,
Speaking in Tongues,Jeffery Deaver,2000,"Simon & Schuster, New York",Mystery / Thriller / Psychological Thriller,,Hardcover,336,0-684-87126-2,First Edition,"First American Edition, First Printing",$6,"Common; widely printed standalone thriller, not scarce",7.56,"Fine, hasDJ | Fine book; Fair dust jacket","A standalone thriller in which former prosecutor Tate Collier races to save his teenage daughter after she is kidnapped by a brilliant, vengeful psychologist bent on settling an old score.",,Own
Starfire,Dale Brown,2014,William Morrow,Techno-Thriller,Brad McLanahan,Paperback,560,978-0-06-226240-0,First Harper premium printing,January 2015,,Common; mass market paperback with abundant used copies in circulation,7.8,Good | noDJ: mass market paperback with wear consistent with reading copy,"After the death of his father Patrick McLanahan, Bradley McLanahan leads a team developing Starfire, an orbiting solar power plant, only to see the project ignite a dangerous arms race as nations rush to militarize space. Second entry in the Brad McLanahan series.",No,
Strike Force,Dale Brown,2007,William Morrow,Techno-Thriller,Patrick McLanahan,Paperback,432,978-0-06-117369-1,First Harper paperback printing,May 2008,,Common; mass market paperback with abundant used copies in circulation,8.1,Fair | noDJ: mass market paperback with cover fully detached from spine and text block though intact as one piece,"When a disgraced Iranian general turns to his old nemesis Patrick McLanahan for help toppling Iran's theocratic regime, the President authorizes McLanahan's team to deploy a top-secret fleet of XR-A9 Black Stallion spaceplanes. Thirteenth entry in Dale Brown's Patrick McLanahan series.",No,
Tales of Norse Mythology,H.A. Guerber,2018,"Fall River Press (Sterling Publishing Co., Inc.), New York",Mythology / Folklore,,Hardcover,318,978-1-4351-6676-9,Compilation Edition,First Printing,$14,"Common; widely available gift edition, originally published 1895 as Myths of Northern Lands",7.82,Like new,"Illustrated collection of Norse mythological tales covering Viking-era gods and goddesses including Odin, Thor, Freya, and Loki, originally published in 1895 as Myths of Northern Lands",,Own
Taltos: Lives of the Mayfair Witches,Anne Rice,1994,"Alfred A. Knopf, New York",Horror / Gothic Fiction / Occult Fiction,"Lives of the Mayfair Witches, Book 3",Hardcover,467,0-679-42573-X,First Edition,First Printing,$12,"Common; widely printed bestselling series entry, not scarce",7.20,"Fine, hasDJ | Fine book; Near Fine dust jacket, protected","Third novel in the Lives of the Mayfair Witches series, following Ash, the last of the ancient Taltos race, as his fate becomes entwined with the Mayfair family of New Orleans and the origins of the mysterious being Lasher are finally revealed. Sequel to Lasher.",,Own
"Tarot: Cards for Divination, Wisdom and Self Discovery",Nikkie Jay,2022,"Amber Books, London",Occult / Tarot / Divination,,"Hardcover (Chinese-bound, illustrated)",159,978-1-83886-247-3,First Edition,First Printing,$25,"Uncommon; specialty hand-bound gift edition, MSRP $29.99",,Like new,"Illustrated guide to the 78 Rider-Waite-Smith tarot cards, covering the imagery, symbolism, and meaning of each Major and Minor Arcana card",,Own
Technology of the Gods: The Incredible Sciences of the Ancients,David Hatcher Childress,2000,Adventures Unlimited Press,Archaeology,,Paperback,344,0932813739,First Edition,,,"Common; still in print with a large, active readership and abundant surviving copies",78,"Fair: heavy wear, edge/corner wear, creased spine and cover, plastic-protected cover, no dust jacket applicable (paperback)","Childress explores claims of advanced ancient technology, from theories of ancient flight and electricity to megalithic construction and the idea that the Great Pyramid functioned as a power station.",No,Own
The Adventures of Baron Munchausen,R. E. Raspe and others,1970,"Pantheon Books (division of Random House, Inc.)",Fiction / Satire / Fantasy,,Hardcover,0,,First Pantheon printing with 1969 Ronald Searle illustrations,First printing (1970),$15,Uncommon; collectible for Searle's illustrations,6.84,"Very Fine, noDJ | Very Fine (VF); hardcover; no dust jacket (if applicable)","A satirical and fantastical account of the fictional Baron Munchausen's improbable adventures, profusely illustrated by Ronald Searle, with an introduction by S.J. Perelman.",,Own
The Analects (or Sayings) of Confucius,"Confucius (translated by James Legge, completed by Lionel Giles)",1976,"The Easton Press, Norwalk, CT",Philosophy / Classics / Eastern Philosophy,The 100 Greatest Books Ever Written,Hardcover,,,Easton Press Collector's Edition,1976 Easton Press printing,$18,"Common; mass-produced leatherbound collectible series, widely available, not scarce",7.60,"As New, noDJ | As New; bonded leather binding, gilt edges, no dust jacket as issued","A foundational text of Confucian philosophy, transmitted orally by Confucius's disciples following his death in 478 B.C. and compiled from at least two generations of oral tradition. This Easton Press edition uses James Legge's translation as completed by Lionel Giles, with illustrations by Tseng Yu-Ho originally created for the 1933 Limited Editions Club edition.",,Own
The Ancient,R.A. Salvatore,2008,"Tom Doherty Associates, New York, NY",Fantasy,,Hardcover with dust jacket,0,978-0-7653-1789-6,First Edition,Mar-08,$20,Uncommon; collectible for fans of R.A. Salvatore,0,"Near Fine, hasDJ | Near Fine; hardcover; dust jacket with only slight wear","A fantasy novel by R.A. Salvatore, 'The Ancient' continues the adventures of characters in the author's expansive fantasy world. First edition published in March 2008 by Tom Doherty Associates.",,Own
The Assassins: A Radical Sect in Islam,Bernard Lewis,2005,"The Folio Society, London",History / Middle Eastern Studies,,Hardcover with slipcase,242,9782286009960,First Edition Thus,,$20,"Uncommon; specialty press run, regularly findable in secondary market",7.46,"Perfect condition (book), slipcase has light shelf wear with one indentation on bottom edge","History of the medieval Nizari Ismaili sect known as the Assassins, tracing their origins, myth, and political significance in Islamic history",,Own
The Associate,John Grisham,2009,Doubleday,Fiction,,Hardcover,373,0385517831,First Edition,1st Printing,$6.00,Common; a bestselling title with abundant surviving copies,74,"Very Good: light-moderate wear, hasDJ, protectedDJ","Legal thriller following Yale Law graduate Kyle McAvoy, who is blackmailed by a shadowy group into spying on his prestigious law firm using a secret from his past.",No,Own
"The Bewitching of Anne Gunter: A Horrible and True Story of Deception, Witchcraft, Murder, and the King of England",James Sharpe,2000,"Routledge, New York",History / Witchcraft / Microhistory,,Hardcover,238,0-415-92691-2,First US Edition,First Printing (number line to 1),$18,"Uncommon; scholarly microhistory, modest hardcover print run",6.96,"Near Mint, hasDJ | Near Mint book; Near Mint dust jacket","A meticulously researched account of the 1604 witchcraft case of twenty-year-old Anne Gunter, whose feigned bewitchment—orchestrated by her father to settle a local feud—led to a Star Chamber trial before King James I himself, an Oxford investigation, and ultimately Anne's own confession of deception.",,Own
The Blade Itself,Joe Abercrombie,2015,"Orbit (Hachette Book Group), New York",Fantasy / Grimdark,"The First Law Trilogy, Book 1",Paperback,515,978-0-316-38731-6,First Orbit Edition,"Printing 17, 2022",$6,"Common; wildly popular grimdark fantasy debut, widely available",8.32,Basically new paperback,"First novel in Joe Abercrombie's First Law trilogy, following barbarian Logen Ninefingers, nobleman Jezal dan Luthar, and torturer Inquisitor Glokta as war brews across the Union",,Own
The Bleeding Mind: An Investigation into the Mysterious Phenomenon of Stigmata,Ian Wilson,1988,"Weidenfeld and Nicolson, London",Religion / Mysticism / Paranormal,,Hardcover,256,0-297-79099-4,First Edition,First Printing,$25,Uncommon; niche interest among collectors of religious and paranormal studies,7,"Very Good, hasDJ | Very Good (VG): Hardcover; slightly worn dust jacket","Ian Wilson explores the enigmatic phenomenon of stigmata—bodily wounds resembling those of Christ—combining historical accounts, medical perspectives, and theological debates in this investigative work.",No,Own
The Bleeding Mind: An Investigation into the Mysterious Phenomenon of Stigmata,Ian Wilson,1988,Weidenfeld and Nicolson,Religion,,Hardcover,164,0297790994,First Edition,1st Printing,$25.00,Scarce; a specialized first edition with a limited print run and few surviving Fine/Near Fine copies,,"Near Fine: light wear, hasDJ, protectedDJ","Wilson investigates the phenomenon of stigmata, examining historical cases and scientific scrutiny of the mind's potential influence on causing wounds resembling those of the crucified Christ.",No,Own
The Blue Nowhere,Jeffery Deaver,2001,"Simon & Schuster, New York",Mystery / Thriller / Techno-Thriller,,Hardcover,,0-684-87127-0,First Edition,First Printing (number line to 2),$7,"Common; widely printed standalone bestseller, not scarce",7.98,"Good, hasDJ | Good book and dust jacket","A standalone thriller pitting former computer criminal Wyatt Gillette against a brilliant hacker known as Phate, who stalks and kills victims by first infiltrating and manipulating their digital lives in Silicon Valley.",,Own
"The Book of Lost Tales, Part I",J.R.R. Tolkien,1984,"Houghton Mifflin Company, Boston",Fantasy / Literary Criticism / Mythology,"The History of Middle-earth, Vol. 1",Hardcover with dust jacket,297,0-395-35439-0,First American Edition text,Science Fiction Book Club Edition,$15,"Common; book club edition, not a trade first, no number line or DJ price present",7.74,"Near Fine, protectedDJ | Near Fine; protected dust jacket","First volume of Christopher Tolkien's History of Middle-earth series, presenting the earliest form of Tolkien's mythology — the tales of Valinor, the Music of the Ainur, and the coming of the Elves — framed as stories told to the mariner Eriol on Tol Eressëa. This copy is confirmed as a Science Fiction Book Club edition, identified by the 'Book Club Edition' notice printed on the reverse of the dust jacket flap.",,Own
"The Book of Lost Tales, Part II",J.R.R. Tolkien,1984,"Houghton Mifflin Company, Boston",Fantasy / Literary Criticism / Mythology,"The History of Middle-earth, Vol. 2",Hardcover with dust jacket,400,0-395-36614-3,First American Edition text,"Likely Book Club Edition (no price on DJ, ISBN on affixed label, no number line found on copyright page)",$15,"Common; likely book club edition, not a confirmed trade first",7.82,"Very Good, hasDJ | Slightly worn dust jacket with shelf wear and wrinkles","Second volume of Christopher Tolkien's History of Middle-earth series, presenting the earliest form of Tolkien's mythology continuing from Part I — including the tales of Beren and Lúthien, Túrin and the Dragon, the Necklace of the Dwarves, and the Fall of Gondolin. Companion volume to Part I in the same set; DJ evidence (no price shown, ISBN affixed as a printed label) suggests this is a book club printing rather than a confirmed Houghton Mifflin trade first.",,Own
The Book of Secrets of Albertus Magnus,Albertus Magnus (Edited by Michael R. Best and Frank H. Brightman),1973,Oxford University Press,Occult / Natural Philosophy / Medieval Studies,,Paperback,300,,Oxford University Press Edition,"First Oxford University Press paperback edition, 1974",$30,Uncommon; valued among collectors of medieval occult texts and academic reprints,8.2,Very Fine | Very Fine (VF): Paperback; lightly worn,"An English edition of the medieval text attributed to Albertus Magnus, covering the virtues of herbs, stones, and animals, along with marvels of the world. Edited with scholarly apparatus by Michael R. Best and Frank H. Brightman for Oxford University Press.",No,Own
"The Book of Secrets of Albertus Magnus: Of the Virtues of Herbs, Stones and Certain Beasts, Also a Book of the Marvels of the World",Albertus Magnus (attrib.); ed. Michael R. Best and Frank H. Brightman,1974,Oxford University Press,Occult / Medieval History / Folklore,,Paperback,176,0195197860,First Paperback Edition,"First Paperback Edition, 1974 (originally published in hardcover by Clarendon Press, 1973)",$10,"Common; paperback edition readily available secondhand, hardcover first is scarcer",7.72,Decent paperback,"Medieval compendium of folk magic, herbal lore, astrology, and the supposed occult virtues of herbs, stones, and beasts, traditionally attributed to 13th-century philosopher Albertus Magnus",,Own
The Boston Strangler,Gerold Frank,1966,"The New American Library, Inc., New York, NY",True Crime,,Hardcover with dust jacket,0,,First Edition,1966,$25,Uncommon; notable true crime account of the Boston Strangler murders,7.46,"Near Fine, protectedDJ | Near Fine; hardcover; dust jacket with only slight wear, protected in plastic","Gerold Frank's investigative true crime work recounting the shocking Boston Strangler murders, providing a detailed and chilling account of the events and the hunt for the killer.",,Own
The British Lion,Tony Schumacher,2015,William Morrow,Fiction,John Rossett,Hardcover,450,0062394592,First Edition,1st Printing,$6.00,Common; a widely distributed first-edition title with abundant surviving copies,80,"Near Fine: light wear, hasDJ, protectedDJ","Second novel in Schumacher's John Rossett series, an alternate-history thriller set in a Nazi-occupied 1946 Britain, following a detective racing to save his boss's kidnapped daughter amid a hunt for the atomic bomb.",No,Own
The Broken Window,Jeffery Deaver,2008,"Simon & Schuster, New York",Mystery / Thriller / Crime Fiction,"Lincoln Rhyme, Book 8",Hardcover,414,978-1-4165-4997-0,First Edition,"First Simon & Schuster Hardcover Edition, June 2008 (number line to 2)",$7,"Common; bestselling thriller series entry, widely available, not scarce",8.14,"Good, hasDJ | Good book and dust jacket","Eighth Lincoln Rhyme novel, in which Rhyme and Amelia Sachs confront a data-mining criminal mastermind who frames innocent people for his own murders by exploiting the vast troves of personal information amassed by a data-collection company.",,Own
The Broker,John Grisham,2005,Doubleday,Fiction,,Hardcover,368,0385510454,First Edition,1st Printing,$6.00,Common; a bestselling title with abundant surviving copies,76,"Near Fine: light wear, hasDJ | dust jacket Very Good: light-moderate wear","Thriller following Joel Backman, a pardoned Washington power broker relocated to Italy under a new identity, as intelligence agencies circle to learn what secrets he holds.",No,Own
The Burial Hour,Jeffery Deaver,2017,"Grand Central Publishing, New York",Mystery / Thriller / Crime Fiction,"Lincoln Rhyme, Book 13",Hardcover,480,978-1-4555-3637-5,First Edition,"First Printing, April 2017",$7,"Common; bestselling thriller series entry, widely available, not scarce",7.38,"Good, hasDJ | Good book; Fair dust jacket","Thirteenth Lincoln Rhyme novel, in which Rhyme and Amelia Sachs pursue a kidnapper known as the Composer to Italy, uncovering a conspiracy tied to human trafficking and terrorism as they race against a gruesome ritualistic clock.",,Own
The Burning Wire,Jeffery Deaver,2010,"Simon & Schuster, New York",Mystery / Thriller / Crime Fiction,"Lincoln Rhyme, Book 9",Hardcover,414,978-1-4391-5633-9,First Edition,"First Simon & Schuster Hardcover Edition, June 2010 (number line to 2)",$7,"Common; recent bestselling thriller series entry, widely available, not scarce",8.08,"Near Mint, hasDJ | Near Mint book and dust jacket","Ninth Lincoln Rhyme novel, in which Rhyme and Amelia Sachs race to stop a killer who weaponizes New York City's electrical grid, unleashing lethal arc flashes and rigged household wiring while making escalating demands.",,Own
The Call of Earth,Orson Scott Card,1993,"Tor Books (Tom Doherty Associates, Inc.)",Science Fiction,"Homecoming Saga, Book 2",Hardcover with dust jacket,304,0-312-93037-2,First Edition,"First Trade Edition, January 1993 (full number line to 1)",$18,"Common; large print run, not scarce, but desirable as a complete matched first-edition set",7.24,"Very Fine, hasDJ | Great condition; light dust jacket wear, mainly on top edges","Second volume of the Homecoming saga. As the Oversoul's control over Harmony weakens, the warrior Moozh rises to challenge its authority using forbidden technology, threatening the city of Basilica. Cover art by Keith Parkinson.",,Own
The Citadel of the Autarch,Gene Wolfe,1982,Timescape Books (Pocket Books/Simon & Schuster),Fantasy / Science Fantasy,"The Book of the New Sun, Volume 4",Hardcover with dust jacket,276,0-671-45251-7,Book Club Edition,"Book Club Edition, first club printing January 1983",$12,"Common; book club edition, lower collector value than the true Timescape first edition, but title carries significant award pedigree",8.52,"Very Fine, hasDJ, bce | Great condition; dust jacket worn with small tears","Fourth and concluding volume of Gene Wolfe's The Book of the New Sun tetralogy. Severian's journey across Urth reaches its climax as the truth of the Claw of the Conciliator and his own destiny as Autarch are revealed. Winner of the 1984 John W. Campbell Memorial Award and the 1985 Apollo Award; also nominated for the Nebula, Balrog, and British Science Fiction Awards, and placed second in the 1983 Locus Poll. Cover art by Don Maitz. This copy is a Science Fantasy Book Club edition.",,Own
The Claw of the Conciliator,Gene Wolfe,1981,Timescape Books (Simon & Schuster/Pocket Books),Fantasy / Science Fantasy,"The Book of the New Sun, Volume 2",Hardcover with dust jacket,303,0-671-41370-8,First Edition,First Printing (full number line to 1),$65,"Uncommon; winner of the 1981 Nebula Award for Best Novel and Locus Award for Best Fantasy Novel, genuinely collectible award-winning title in first-edition dustjacketed form",7.96,"Very Fine, hasDJ | Great condition; lightly worn dust jacket, small tears at top and bottom of rear panel","Second volume of Gene Wolfe's The Book of the New Sun, continuing Severian's journey toward exile in Thrax, armed with the relic known as the Claw of the Conciliator and his sword Terminus Est. Winner of the 1981 Nebula Award for Best Novel and the Locus Award for Best Fantasy Novel. Cover art by Don Maitz.",,Own
The Commodore,Patrick O'Brian,1994,"W. W. Norton & Company, New York",Historical Fiction / Nautical Fiction / Napoleonic Wars,"Aubrey-Maturin, Book 17",Paperback,282,0-393-31459-6,Norton Paperback Edition,1996 Norton paperback printing (number line to 3),$7,"Common; widely printed installment in a major historical fiction series, not scarce",8.86,"Near Fine, noDJ | Near Fine; trade paperback, no dust jacket as issued","Seventeenth novel in the Aubrey-Maturin series, following Jack Aubrey as newly appointed Commodore on a mission to suppress the slave trade off the coast of Africa, while Stephen Maturin confronts personal turmoil at home and a French invasion threat looms over Ireland.",,Own
The Cunning Man's Handbook: The Practice of English Folk Magic 1550-1900,Jim Baker,2014,"Avalonia, London",Occult / Folklore / History,,Paperback,556,978-1-905297-68-9,First Edition,"First Edition, July 2014",$45,"Scarce; out of print, strong ongoing demand in occult/folklore collecting circles",8.30,Light shelf worn paperback,"Comprehensive academic study of English Cunning Folk practices and folk magic between 1550-1900, with foreword by David Rankine",,Own
The Cutting Edge,Jeffery Deaver,2018,"Grand Central Publishing, New York",Mystery / Thriller / Crime Fiction,"Lincoln Rhyme, Book 14",Hardcover,434,978-1-4555-3642-9,First Edition,"First Printing, April 2018 (number line to 1)",$8,"Common; recent bestselling thriller series entry, widely available, not scarce",7.72,"Near Mint, hasDJ | Near Mint book and dust jacket","Fourteenth Lincoln Rhyme novel, in which Rhyme and Amelia Sachs investigate a killer known as the Promisor who targets engaged couples across Manhattan and Brooklyn, drawing them into New York's diamond trade and industry.",,Own
The Dark Crystal,"Jim Henson, Frank Oz",1982,Columbia TriStar Home Entertainment,Fantasy,,Paperback,93,,,,$5.00,Common,7.2,Good,"A dark fantasy film about a Gelfling on a quest to restore balance to his alien world by returning a lost shard to a powerful crystal. Directed by Jim Henson and Frank Oz, featuring groundbreaking puppetry.",,Pending Add
The Dead Zone,Stephen King,1979,Viking Press,Science Fiction / Thriller,,Hardcover,426,978-0-670-26077-5,First Edition,First Printing,$120,Uncommon; collectible modern King first edition,7.8,Very Fine | Very Fine (VF): Excellent condition; light shelf wear and minor jacket tear | hasDJ,Johnny Smith awakens from a years-long coma with psychic abilities—haunted by a lethal vision of the future that forces him to confront moral dilemmas and a rising tyrant.,No,Own
The Decameron of Boccaccio,Giovanni Boccaccio,0,The Bibliophilist Society,Classic Literature / Short Stories,,Hardcover,0,,Illustrated edition,Undated U.S. printing,$25,"Common; readily available as a collectible illustrated edition, value increased by condition",9,"Very Fine, noDJ | Very Fine (VF); hardcover; light shelf wear; no dust jacket (as issued or absent)",Giovanni Boccaccio's 14th-century masterpiece of 100 tales told over ten days by a group of young people sheltering from the plague in Florence. This illustrated edition from The Bibliophilist Society presents the classic text in an attractive mid-20th-century U.S. hardcover format.,,Own
The Decline and Fall of the Roman Empire (Abridged),Edward Gibbon,1970,Heron Books (by arrangement with Washington Square Press),History / Classics,,Hardcover,960,,"Abridged Edition (Hugh Trevor-Roper, 1970)",Early 1970s Heron printing,$20,"Common; decorative binding collectible, not rare",9,"Very Fine, noDJ | Very Fine (VF): Decorative hardcover; no dust jacket as issued","Edward Gibbon's monumental chronicle of the Roman Empire's decline, presented here in an abridged edition with Hugh Trevor-Roper's introduction. This Heron edition captures the grandeur of Gibbon's prose and historical analysis in a finely bound decorative volume.",No,Own
The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,1996,Ballantine Books,Science,,Paperback,480,0345409469,First Ballantine Edition,27th Printing,,Common; mass-market paperback with an extremely high print run and abundant surviving copies,86,"Fair: heavy wear, edge/corner wear, creased spine and cover, no dust jacket applicable (paperback)","Sagan's defense of scientific skepticism and the scientific method as tools for distinguishing genuine inquiry from pseudoscience and superstition, written with Ann Druyan.",No,Own
The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,1997,"Ballantine Books, New York, NY",Science / Nonfiction,,Paperback,0,0-345-40946-9,First Ballantine Books Edition,Mar-97,$10,Common; widely available paperback edition,0,Good | Good; paperback; slightly worn with bent corners,"Carl Sagan's exploration of scientific thinking, skepticism, and the importance of critical inquiry, aimed at debunking pseudoscience and superstition.",,Own
The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,1995,Random House,Popular Science / Skepticism,,Hardcover,457,9780394535128,First Edition,First Printing,$100,Uncommon; strong first edition in very good condition,9.2,Very Good | Very Good (light shelf wear to jacket) | hasDJ,A case for scientific literacy and critical thinking against pseudoscience and superstition.,,Own
The Demonologist,"Ed Warren, Lorraine Warren, Gerald Brittle",2013,Graymalkin Media,Paranormal/Occult,,Paperback,320,9781935169222,,,$12.99,Common,7.2,Good,"The extraordinary career of Ed and Lorraine Warren, world-renowned demonologists and paranormal investigators, including their most famous cases.",,Pending Add
"The Descent of Man, and Selection in Relation to Sex (Two-Volume Set)",Charles Darwin,1998,The Classics of Science Library / Gryphon Editions,Science / Natural History,Classics of Science Library,Hardcover (Leather Bound),0,,1998 leather-bound facsimile of 1871 John Murray first edition,1998 printing,$100,Uncommon; collectible fine press edition,0,"Near Fine, noDJ | Like New; hardcover; no dust jackets as issued; includes publisher insert","Two-volume leather-bound facsimile of the original 1871 John Murray first edition of Darwin's work on human evolution and sexual selection, produced by Gryphon Editions for the Classics of Science Library. Bound in genuine leather with gilt edges, ribbon bookmarks, marbled endpapers, and printed on archival-quality paper.",,Own
The Devil's Horns,Kenneth Robeson (house name; Paul Ernst),1939,"Warner Paperback Library, New York",Pulp / Adventure / Crime,"The Avenger, No. 4",Paperback,,,Warner Paperback Library Edition,"First Printing, September 1972",$4,"Common; widely reprinted Avenger pulp series entry, not scarce",7.20,"Good, noDJ | Good; no dust jacket as issued","A cryptic message traced in a dying man's own blood leads Richard Benson, the Avenger, and his Justice, Inc. operatives to uncover a corrupt political boss's crime ring in this fourth adventure of the pulp hero. Originally published by Street & Smith in 1939.",,Own
The Devil's Supper,Shani Oates,2017,Anathema Publishing,Occult / Esoterica,,"Hardcover, no dust jacket as issued",0,,"Standard Edition, Copy #152",Hand-numbered edition of approximately 600 copies,$100,"Scarce; sold out from publisher, hand-numbered limited print run",,"Very Fine, noDJ | Metallic graphite bookcloth binding; no dust jacket as issued; excellent condition","A modern occult work by Shani Oates exploring themes of sacrifice, ritual, and the traditional witchcraft current. Published by Anathema Publishing in a hand-numbered standard edition of approximately 600 copies, since sold out from the publisher. This copy is numbered 152.",,Own
"The Divine Comedy (Three-Volume Set: Inferno, Purgatorio, Paradiso)",Dante Alighieri,1966,"Washington Square Press, New York",Epic Poetry / Classic Literature,La Divina Commedia,Hardcover (Three-Volume Set),1500,,First Washington Square Press Edition (Illustrated),1966 printing,$45,Uncommon; desirable as a complete slipcased set,9.5,Very Fine | Very Fine (VF): Hardcover three-volume set with original slipcase; slipcase slightly worn,"Dante Alighieri's masterpiece of epic poetry, presented in three volumes—Inferno, Purgatorio, and Paradiso—translated into blank verse by Louis Biancolli and illustrated by Harry Bennett. Published by Washington Square Press in a slipcased edition.",No,Own
